models,llc/arxiv,llc/cc,llc/dm_mathematics,llc/enron_emails,llc/freelaw,llc/github,llc/hackernews,llc/nih_exporter,llc/pubmed_abstracts,llc/pubmed_central,llc/stackexchange,llc/uspto_backgrounds,llc/wikipedia_en,llc_std/arxiv,llc_std/cc,llc_std/dm_mathematics,llc_std/enron_emails,llc_std/freelaw,llc_std/github,llc_std/hackernews,llc_std/nih_exporter,llc_std/pubmed_abstracts,llc_std/pubmed_central,llc_std/stackexchange,llc_std/uspto_backgrounds,llc_std/wikipedia_en,loss/arxiv,loss/cc,loss/dm_mathematics,loss/enron_emails,loss/freelaw,loss/github,loss/hackernews,loss/nih_exporter,loss/pubmed_abstracts,loss/pubmed_central,loss/stackexchange,loss/uspto_backgrounds,loss/wikipedia_en,trace/arxiv,trace/cc,trace/dm_mathematics,trace/enron_emails,trace/freelaw,trace/github,trace/hackernews,trace/nih_exporter,trace/pubmed_abstracts,trace/pubmed_central,trace/stackexchange,trace/uspto_backgrounds,trace/wikipedia_en,trace_std/arxiv,trace_std/cc,trace_std/dm_mathematics,trace_std/enron_emails,trace_std/freelaw,trace_std/github,trace_std/hackernews,trace_std/nih_exporter,trace_std/pubmed_abstracts,trace_std/pubmed_central,trace_std/stackexchange,trace_std/uspto_backgrounds,trace_std/wikipedia_en
pythia-70m_00512,154.55807495117188,119.72872924804688,168.5100860595703,124.35459899902344,131.54266357421875,154.80596923828125,120.99142456054688,126.18548583984375,128.95956420898438,146.89077758789062,135.31568908691406,126.58247375488281,122.66567993164062,0.6035133600234985,0.5898526310920715,1.29298996925354,0.6399999856948853,0.550643801689148,0.13465677201747894,0.6897041201591492,0.35913148522377014,0.25467437505722046,0.28408265113830566,0.338470995426178,0.37383371591567993,0.527363657951355,4.198149681091309,5.373419761657715,2.3884036540985107,5.315524101257324,4.8358564376831055,4.249019622802734,5.080080509185791,5.3539276123046875,5.302445888519287,4.659059524536133,4.79666805267334,5.042137622833252,5.507175922393799,16906.279296875,11943.8017578125,14829.3857421875,14014.5693359375,15538.734375,18781.44140625,11645.751953125,14195.3701171875,15262.0859375,14767.0537109375,14973.90625,13796.1005859375,14051.806640625,494.5468444824219,377.390625,876.0110473632812,428.24713134765625,531.2382202148438,524.774169921875,408.5641174316406,454.4661560058594,491.9635314941406,554.5655517578125,259.9224548339844,485.0165710449219,378.0462341308594
pythia-70m_01000,194.93324279785156,145.0069122314453,173.13601684570312,161.91580200195312,161.75473022460938,215.24432373046875,143.0614776611328,157.4871063232422,166.74215698242188,184.21856689453125,175.89083862304688,161.8440704345703,159.26272583007812,0.7924776077270508,0.4862475097179413,0.4664310812950134,0.377189576625824,0.3885768949985504,0.4441125988960266,0.354424387216568,0.4148639142513275,0.1853712797164917,0.36094218492507935,0.24245046079158783,0.13033005595207214,0.483344703912735,2.86460542678833,4.551601409912109,1.9488706588745117,4.120753288269043,3.847228527069092,2.246884822845459,4.356354236602783,4.349623680114746,4.123779773712158,3.4973385334014893,3.471484899520874,3.860825777053833,4.345552444458008,6534.07421875,8652.0576171875,5271.63427734375,8954.5263671875,9822.3623046875,7576.93994140625,8281.2685546875,10114.1083984375,11074.419921875,8159.42041015625,8432.6787109375,9257.759765625,9393.5166015625,286.4685974121094,132.2124786376953,340.33087158203125,230.54649353027344,117.17615509033203,178.84036254882812,69.30839538574219,356.23809814453125,203.55393981933594,182.40614318847656,155.3444366455078,149.12423706054688,193.12306213378906
pythia-70m_02000,218.23300170898438,169.870361328125,185.3053436279297,189.90805053710938,188.42138671875,239.92857360839844,167.30799865722656,185.87945556640625,196.59449768066406,211.16949462890625,202.24517822265625,187.5010986328125,187.89161682128906,0.5852625966072083,0.564104437828064,0.3407875895500183,0.43764859437942505,0.2961856424808502,0.7307252883911133,0.4060949981212616,0.18042749166488647,0.2521636188030243,0.507437527179718,0.27975529432296753,0.22465607523918152,0.6208701133728027,2.5206546783447266,4.104062557220459,1.7706762552261353,3.6323814392089844,3.3522183895111084,1.8705518245697021,3.945221424102783,3.8224308490753174,3.579468250274658,3.06905198097229,3.044468641281128,3.3902339935302734,3.8331844806671143,3383.055419921875,4678.65185546875,2549.978515625,4833.2119140625,5415.38623046875,3429.525390625,4665.20263671875,4942.91650390625,5405.90576171875,4056.770751953125,4185.75048828125,4329.82763671875,4894.97802734375,116.29898834228516,58.157470703125,195.64410400390625,68.3397216796875,116.75994873046875,117.12472534179688,111.36515045166016,172.21112060546875,83.10543823242188,93.56114196777344,26.66423225402832,110.08056640625,96.07943725585938
pythia-70m_03000,229.46630859375,182.43798828125,190.99920654296875,203.51316833496094,201.00527954101562,252.19403076171875,179.8245391845703,198.834716796875,209.9910888671875,223.70352172851562,215.55178833007812,199.9417724609375,201.31344604492188,0.5054566264152527,0.3884606957435608,0.5809818506240845,0.3067362308502197,0.32009050250053406,0.8658649921417236,0.27601441740989685,0.29654669761657715,0.4454393684864044,0.5640387535095215,0.4031757414340973,0.46062925457954407,0.4664936363697052,2.4077370166778564,3.960127353668213,1.7190059423446655,3.46268630027771,3.1926538944244385,1.735382080078125,3.803847312927246,3.668687105178833,3.4220213890075684,2.9337897300720215,2.8955721855163574,3.2445952892303467,3.67738938331604,3185.188720703125,4395.1142578125,1859.777587890625,4475.90576171875,4897.84716796875,3383.932373046875,4137.19287109375,4707.52734375,5073.03173828125,3869.295654296875,3698.911865234375,4072.379638671875,4603.9658203125,108.93921661376953,56.91117477416992,118.5289535522461,98.77960205078125,70.95327758789062,81.17546844482422,68.97236633300781,92.76376342773438,91.54237365722656,52.53153610229492,51.04764175415039,101.44285583496094,100.96694946289062
pythia-70m_04000,237.47247314453125,191.10494995117188,195.30982971191406,213.11334228515625,209.96412658691406,261.4264221191406,188.4561309814453,207.05728149414062,218.78433227539062,232.3321533203125,225.0225830078125,208.03607177734375,211.0158233642578,0.5065871477127075,0.43332648277282715,0.6090771555900574,0.305741548538208,0.2664065659046173,0.922345757484436,0.32200151681900024,0.43589651584625244,0.6182228922843933,0.6400189995765686,0.43011146783828735,0.6777734160423279,0.4384251832962036,2.3515796661376953,3.8826186656951904,1.6780776977539062,3.373823642730713,3.104459762573242,1.659739375114441,3.7342119216918945,3.5822765827178955,3.328686475753784,2.8607654571533203,2.822077989578247,3.1626315116882324,3.5869579315185547,2873.888427734375,3993.562255859375,1657.4215087890625,4135.43310546875,4285.189453125,2964.024658203125,3770.012451171875,4204.3427734375,4538.63623046875,3328.37939453125,3493.288330078125,3574.98681640625,4184.59521484375,72.26451110839844,31.89041519165039,44.20574951171875,66.09516906738281,78.49116516113281,60.358314514160156,78.40618133544922,84.78021240234375,100.24236297607422,32.59684753417969,61.78266525268555,64.24175262451172,67.48980712890625
pythia-70m_05000,242.37258911132812,195.90960693359375,197.84315490722656,218.59552001953125,214.99176025390625,266.982666015625,193.04132080078125,211.6986083984375,223.87600708007812,237.636474609375,230.74911499023438,212.89016723632812,216.5274658203125,0.4889301359653473,0.3836522400379181,0.7642648816108704,0.3829778730869293,0.17287445068359375,0.9242163300514221,0.5425808429718018,0.6425832509994507,0.6690622568130493,0.627998948097229,0.40036487579345703,0.7512722611427307,0.4663037955760956,2.3294103145599365,3.870295524597168,1.6659904718399048,3.3369345664978027,3.0781142711639404,1.6289438009262085,3.7257587909698486,3.5562872886657715,3.307600736618042,2.8461077213287354,2.795731544494629,3.138218641281128,3.5601489543914795,2239.237060546875,3435.919189453125,1547.208984375,3567.29541015625,3682.563232421875,2417.671630859375,3406.80712890625,3802.24267578125,3967.579345703125,2790.061279296875,2849.3017578125,2940.547607421875,3672.527099609375,101.13999938964844,55.352760314941406,72.16923522949219,43.298912048339844,51.93109130859375,44.72611999511719,94.95957946777344,32.826744079589844,126.75077056884766,120.41704559326172,93.34999084472656,48.27604675292969,76.31877899169922
pythia-70m_06000,246.20896911621094,200.980712890625,199.5615234375,224.09295654296875,219.71209716796875,271.5283203125,197.7178192138672,216.01654052734375,228.65640258789062,242.33148193359375,235.38658142089844,217.38455200195312,221.54444885253906,0.3748353123664856,0.3410641849040985,0.8880453705787659,0.5478043556213379,0.1855432689189911,0.6747319102287292,0.6203237175941467,0.7250961065292358,0.6649635434150696,0.6487721800804138,0.30018559098243713,0.7317737340927124,0.5489786863327026,2.298227548599243,3.8111135959625244,1.6498236656188965,3.27524471282959,3.026217222213745,1.5926188230514526,3.674359083175659,3.5030674934387207,3.248096227645874,2.7986631393432617,2.754838228225708,3.088381767272949,3.5062005519866943,2343.852294921875,3551.975341796875,1461.5474853515625,3655.455078125,3827.86376953125,2495.853271484375,3440.790771484375,3822.646240234375,3995.821044921875,2794.212646484375,3009.0673828125,3169.25390625,3710.861083984375,66.06800842285156,56.264625549316406,61.144683837890625,43.33330535888672,72.25082397460938,58.458927154541016,93.05329132080078,88.73804473876953,89.42082214355469,63.063907623291016,99.85514831542969,57.92624282836914,65.45060729980469
pythia-70m_07000,248.30776977539062,204.21218872070312,201.47601318359375,227.16464233398438,222.73214721679688,274.07049560546875,200.67897033691406,218.62789916992188,231.54067993164062,245.1932373046875,238.22488403320312,219.96563720703125,224.82550048828125,0.31939125061035156,0.3393465280532837,0.8300390839576721,0.8183451294898987,0.0642034113407135,0.9036520719528198,1.0419061183929443,0.8543753623962402,0.8136526346206665,0.8181299567222595,0.4837821125984192,0.8615726232528687,0.6590442061424255,2.281203269958496,3.793757677078247,1.6365197896957397,3.2519114017486572,3.008685350418091,1.5729565620422363,3.655384063720703,3.487246513366699,3.2281646728515625,2.7818446159362793,2.7355496883392334,3.0731258392333984,3.4860353469848633,2498.447265625,3639.216064453125,1432.9193115234375,3710.46484375,3843.311767578125,2696.37109375,3469.740234375,3681.970458984375,3926.79541015625,2869.063232421875,3087.470458984375,3291.838623046875,3854.935302734375,67.60721588134766,46.06137466430664,68.6768569946289,76.9698715209961,51.423919677734375,50.801387786865234,111.9749526977539,79.65557098388672,64.07188415527344,55.699424743652344,71.26265716552734,64.86805725097656,43.15476989746094
pythia-70m_08000,251.22845458984375,206.958984375,202.81103515625,229.9827423095703,225.4253387451172,276.9433898925781,203.48403930664062,221.26202392578125,234.06690979003906,247.7864990234375,241.3607177734375,222.45115661621094,227.57183837890625,0.4034169316291809,0.3359045088291168,0.7030511498451233,0.9767941832542419,0.1843411922454834,0.8639969229698181,1.149994969367981,0.9554551839828491,0.7760732769966125,0.7194314002990723,0.5473947525024414,0.7327306866645813,0.6397058367729187,2.2636237144470215,3.773530960083008,1.6286884546279907,3.2340145111083984,2.9844553470611572,1.5567487478256226,3.6351144313812256,3.457346200942993,3.2041118144989014,2.763394832611084,2.71474289894104,3.0528218746185303,3.4649088382720947,2454.536376953125,3544.91650390625,1313.6595458984375,3666.06494140625,3695.663330078125,2561.16650390625,3279.609130859375,3790.13916015625,3943.510498046875,2899.956298828125,2946.177490234375,3199.27685546875,3809.522216796875,78.27922821044922,54.36558151245117,87.39111328125,60.8983154296875,39.916221618652344,50.8104248046875,69.65275573730469,65.27217864990234,106.98099517822266,47.96963882446289,100.06592559814453,101.9311752319336,53.51662826538086
pythia-70m_09000,251.4765167236328,208.40280151367188,202.83132934570312,231.15151977539062,227.04595947265625,278.1924133300781,204.35861206054688,221.9007568359375,235.0242919921875,248.60240173339844,242.59815979003906,223.669189453125,229.22137451171875,0.6022400856018066,0.4831695258617401,0.9062714576721191,1.0639643669128418,0.36713165044784546,0.9136959314346313,1.4694592952728271,1.0233429670333862,0.9003990888595581,0.8368371725082397,0.6145980358123779,0.6397290825843811,0.7514367699623108,2.2637481689453125,3.7647933959960938,1.627453088760376,3.22483491897583,2.9732370376586914,1.5428216457366943,3.632134199142456,3.446916341781616,3.1961209774017334,2.76035213470459,2.7075586318969727,3.042915105819702,3.452718496322632,2196.7548828125,3352.174560546875,1285.6494140625,3514.790771484375,3463.470458984375,2401.575439453125,3309.516845703125,3573.64697265625,3719.12939453125,2649.821044921875,2756.05517578125,2907.946533203125,3721.688232421875,66.94767761230469,44.90283203125,119.75299835205078,85.12726593017578,47.258853912353516,74.8890609741211,99.0653305053711,83.8485336303711,84.27233123779297,86.14249420166016,51.51518630981445,83.19052124023438,42.952938079833984
